id,sex,bizflag,zip,zip_bins,numords,dollars,last,sincepurch,version1,owntaxprod,upgraded,res1
61,M,0,99999,20,2,94,12,20,1,0,0,0
62,M,0,99999,20,1,89.5,11,28,0,0,1,0
63,M,0,99999,20,2,55.5,15,31,0,0,1,0
64,M,0,99999,20,4,70.5,29,25,1,0,0,0
65,M,0,99999,20,1,9.5,12,1,0,0,0,0
66,M,0,99999,20,2,173,6,7,0,0,0,0
67,M,0,99999,20,5,247,15,30,0,1,1,0
68,M,0,99999,20,2,105,1,33,1,0,0,0
69,F,0,99999,20,1,9.5,17,24,0,0,1,0
70,F,0,99999,20,3,74,13,20,0,0,1,0
71,M,0,99999,20,3,749.5,16,19,1,0,0,0
72,M,0,99999,20,3,63.5,4,12,0,0,0,0
73,M,0,99999,20,1,33,30,1,0,0,0,0
74,M,0,99999,20,1,9.5,15,10,0,0,0,0
75,M,0,99999,20,1,14.5,7,3,0,0,0,0
76,M,0,99999,20,1,54.5,22,1,0,0,0,0
77,M,0,0,1,1,24.5,10,7,0,0,0,0
78,M,0,0,1,1,54.5,22,31,0,0,1,0
79,F,0,99999,20,1,54.5,24,13,0,0,0,0
80,F,0,99999,20,1,12,2,21,0,0,1,0
81,M,0,99999,20,2,144,11,29,1,0,0,0
82,M,0,99999,20,1,27,24,1,0,0,0,0
83,F,0,99999,20,3,107.5,30,26,1,0,0,0
84,F,0,99999,20,3,123,16,19,0,0,1,0
85,M,0,99999,20,1,76,6,34,1,0,0,0
86,M,0,99999,20,2,199,18,7,0,0,0,0
87,M,0,99999,20,1,99.5,30,21,1,0,0,0
88,M,0,99999,20,2,134,15,11,0,0,0,0
89,M,0,99999,20,1,139.5,4,20,1,0,0,0
90,M,0,99999,20,5,291.5,29,24,1,0,0,0
91,F,0,99999,20,1,24.5,25,1,0,0,0,0
92,F,0,99999,20,2,64,14,1,0,1,0,0
93,M,0,0,1,2,80.5,31,23,0,1,1,0
94,M,0,0,1,2,56.5,19,15,0,0,0,0
95,M,0,99999,20,1,191.5,25,23,0,0,1,0
96,M,0,99999,20,1,24.5,24,13,0,0,0,0
97,M,0,99999,20,1,31,5,26,1,0,0,0
98,M,0,99999,20,4,68.5,17,27,1,0,0,0
99,M,0,99999,20,1,44.5,30,7,0,0,0,0
100,M,0,99999,20,5,238,21,23,0,0,1,0
101,M,0,99999,20,2,94,11,4,0,0,0,0
102,M,0,99999,20,2,39,20,8,0,0,0,0
103,F,0,99999,20,3,193.5,10,4,0,0,0,0
104,F,0,99999,20,2,61.5,1,10,0,0,0,0
105,M,0,99999,20,3,153.5,14,32,0,0,1,0
106,M,0,99999,20,1,14.5,23,9,0,0,0,0
107,M,0,0,1,1,54.5,22,2,0,0,0,0
108,M,0,0,1,2,219,13,7,0,0,0,0
109,M,0,99999,20,5,82,5,31,0,0,1,0
110,M,0,99999,20,1,6,22,13,0,0,0,0
111,M,0,99999,20,3,46.5,34,14,0,0,0,0
112,M,0,99999,20,1,109.5,16,29,1,0,0,0
113,M,0,99999,20,1,49.5,26,12,0,0,0,0
114,M,0,99999,20,2,329,36,11,0,0,0,0
115,M,0,99999,20,1,69,33,28,1,0,0,0
116,M,0,99999,20,2,147,17,29,0,0,1,0
117,M,0,99999,20,4,219.5,6,6,0,0,0,0
118,M,0,99999,20,1,6,6,14,0,0,0,0
119,F,0,99999,20,5,209.5,15,24,0,0,1,0
120,F,0,99999,20,1,33.5,30,14,0,0,0,0
121,M,0,0,1,3,259,6,24,0,1,1,1
122,M,0,0,1,1,62.5,29,7,0,0,0,0
123,M,0,99999,20,1,19.5,20,11,0,0,0,0
124,M,0,99999,20,1,12,18,33,1,0,0,0
125,M,0,99999,20,5,105.5,12,28,0,0,1,0
126,M,0,99999,20,1,82.5,21,4,0,0,0,0
127,M,0,99999,20,2,50.5,3,11,0,0,0,0
128,M,0,99999,20,1,39.5,3,1,0,0,0,0
129,M,0,0,1,3,93.5,1,10,0,1,0,0
130,M,0,0,1,2,106.5,25,36,0,0,1,0
131,M,0,99999,20,1,94.5,11,13,0,0,0,0
132,M,0,99999,20,1,29.5,3,30,1,0,0,0
133,M,0,99999,20,1,49.5,16,9,0,0,0,0
134,M,0,99999,20,2,119,3,9,0,0,0,0
135,M,0,99999,20,1,39.5,24,33,0,0,1,0
136,M,0,99999,20,2,109,27,15,0,0,0,0
137,M,0,99999,20,1,69.5,7,29,0,0,1,0
138,M,0,99999,20,2,54,10,20,0,0,1,0
139,M,0,99999,20,1,24.5,23,21,0,0,1,0
140,M,0,99999,20,5,118.5,18,25,1,0,0,0
141,U,0,99999,20,1,69.5,4,9,0,0,0,0
142,U,0,99999,20,5,346.5,3,5,0,0,0,0
143,M,0,99999,20,4,106.5,16,36,0,0,1,1
144,M,0,99999,20,2,122,14,19,1,0,0,0
145,M,0,0,1,5,132.5,16,28,0,0,1,0
146,M,0,0,1,1,6,5,21,0,0,1,0
147,F,0,99999,20,3,138,12,32,1,0,0,0
148,F,0,99999,20,2,34.5,1,12,0,0,0,0
149,M,0,99999,20,3,114.5,32,2,0,0,0,0
150,M,0,99999,20,3,73.5,26,26,0,0,1,0
151,U,0,99999,20,3,85.5,27,7,0,0,0,0
152,U,0,99999,20,2,75.5,4,26,1,0,0,0
153,M,0,99999,20,2,91.5,12,6,0,0,0,0
154,M,0,99999,20,3,98.5,6,15,0,0,0,0
155,M,0,99999,20,1,99.5,30,3,0,0,0,0
156,M,0,99999,20,2,114,1,8,0,0,0,0
157,M,1,0,1,1,110,4,16,0,0,0,0
158,M,1,0,1,4,88,6,23,1,0,0,0
159,M,0,99999,20,1,94.5,11,14,0,0,0,0
160,M,0,99999,20,1,24.5,12,35,1,0,0,0
161,M,0,99999,20,1,19.5,20,22,0,0,1,0
162,M,0,99999,20,4,166.5,16,1,0,0,0,0
163,M,0,0,1,2,21.5,17,2,0,0,0,0
164,M,0,0,1,1,98.5,4,5,0,0,0,0
165,M,0,0,1,4,208,7,31,1,0,0,0
166,M,0,0,1,5,282,3,8,0,0,0,0
167,M,0,99999,20,1,44.5,9,25,1,0,0,0
168,M,0,99999,20,1,24.5,24,17,0,0,0,0
169,M,0,0,1,3,65,26,16,0,0,1,0
170,M,0,0,1,2,114,30,3,0,0,0,0
171,M,0,0,1,1,84.5,12,19,0,0,1,0
172,M,0,0,1,2,99.5,33,18,0,0,1,0
173,F,0,99999,20,1,94.5,22,1,0,0,0,0
174,F,0,99999,20,1,9.5,11,6,0,0,0,0
175,M,0,99999,20,2,49,10,7,0,0,0,0
176,M,0,99999,20,3,100,14,2,0,0,0,0
177,M,0,99999,20,1,29.5,35,8,0,0,0,0
178,M,0,99999,20,2,53,24,9,0,0,0,0
179,M,0,99999,20,2,109,1,8,0,0,0,0
180,M,0,99999,20,2,73,11,7,0,0,0,0
181,M,1,0,1,2,118.5,33,19,0,0,1,0
182,M,1,0,1,1,64.5,1,9,0,0,0,0
183,M,0,99999,20,5,157.5,16,24,0,1,1,0
184,M,0,99999,20,1,39.5,12,8,0,0,0,0
185,M,0,99999,20,4,98,5,4,0,1,0,0
186,M,0,99999,20,2,63,10,22,1,0,0,0
187,M,0,99999,20,1,24.5,10,22,0,0,1,0
188,M,0,99999,20,1,24.5,32,11,0,0,0,0
189,M,0,99999,20,2,57.5,4,36,0,0,1,0
190,M,0,99999,20,2,42.5,5,21,1,0,0,0
191,M,0,99999,20,1,13,19,1,0,0,0,0
192,M,0,99999,20,3,268.5,7,7,0,0,0,0
193,M,0,99999,20,1,34.5,16,26,0,0,1,0
194,M,0,99999,20,1,19.5,25,6,0,0,0,0
195,M,0,99999,20,2,156.5,10,23,1,0,0,0
196,M,0,99999,20,1,9.5,13,1,0,0,0,0
197,F,0,99999,20,2,99,13,5,0,1,0,1
198,F,0,99999,20,1,13,4,12,0,0,0,0
199,M,0,0,1,2,44.5,17,12,0,0,0,0
200,M,0,0,1,2,84,12,2,0,0,0,0
201,M,0,99999,20,2,75,21,28,0,0,1,0
202,M,0,99999,20,1,51.5,1,23,1,0,0,1
203,M,1,3158,2,3,66,1,26,0,0,1,1
204,M,1,3158,2,1,26.5,3,6,0,0,0,0
205,M,1,0,1,4,767.5,21,11,0,0,0,0
206,M,1,0,1,4,197,17,7,0,0,0,0
207,M,0,760,1,5,205,24,29,1,0,0,1
208,M,0,760,1,5,308,1,15,0,0,0,0
209,U,1,0,1,1,49.5,33,7,0,0,0,0
210,U,1,0,1,2,193,27,31,0,0,1,0
211,M,0,0,1,2,179,26,14,0,0,0,0
212,M,0,0,1,1,34.5,22,34,1,0,0,0
213,U,0,613,1,1,99.5,20,7,0,0,0,0
214,U,0,613,1,1,62.5,17,11,0,0,0,0
215,M,0,660,1,4,236.5,10,33,1,0,0,0
216,M,0,660,1,1,82,34,21,0,0,1,0
217,M,0,693,1,3,123,10,10,0,0,0,0
218,M,0,693,1,1,40,17,4,0,0,0,0
219,U,1,731,1,2,40,17,24,0,0,1,0
220,U,1,731,1,4,121,27,5,0,0,0,0
221,F,0,757,1,2,29,33,6,0,0,0,0
222,F,0,757,1,1,71.5,31,7,0,0,0,0
223,M,0,801,1,2,49,18,9,0,0,0,0
224,M,0,801,1,3,118.5,6,12,0,0,0,1
225,B,0,801,1,1,162,19,19,0,0,1,0
226,B,0,801,1,2,224,26,13,0,1,0,0
227,M,0,801,1,1,9.5,25,7,0,0,0,0
228,M,0,801,1,1,47.5,14,10,0,0,0,1
229,M,1,801,1,1,64.5,13,20,1,0,0,0
230,M,1,801,1,1,56,24,10,0,0,0,0
231,M,0,801,1,1,9.5,32,13,0,0,0,0
232,M,0,801,1,1,24.5,26,25,1,0,0,0
233,F,1,801,1,1,109.5,18,35,1,0,0,0
234,F,1,801,1,2,46.5,9,22,1,0,0,1
235,M,0,801,1,1,109.5,30,2,0,0,0,0
236,M,0,801,1,1,53.5,17,10,0,0,0,0
237,M,0,801,1,1,117,18,13,0,0,0,0
238,M,0,801,1,4,118,22,21,1,0,0,1
239,M,0,801,1,1,40,17,18,0,0,1,1
240,M,0,801,1,1,60.5,30,14,0,0,0,0
241,U,0,801,1,2,150,28,5,0,1,0,1
242,U,0,801,1,1,29.5,3,4,0,0,0,1
243,M,0,801,1,3,61.5,31,16,0,0,0,0
244,M,0,801,1,4,71.5,4,1,0,0,0,0
245,M,0,801,1,1,8.5,17,23,1,0,0,1
246,M,0,801,1,2,81,5,3,0,0,0,1
247,M,0,801,1,2,28,17,1,0,0,0,0
248,M,0,801,1,1,73.5,20,2,0,0,0,0
249,M,0,801,1,1,4.5,20,33,0,0,1,0
250,M,0,801,1,1,7,18,1,0,0,0,0
251,M,1,801,1,2,65,3,33,1,0,0,0
252,M,1,801,1,1,49.5,5,18,0,0,1,0
253,M,0,801,1,1,79.5,18,17,0,0,0,0
254,M,0,801,1,4,199,31,34,0,0,1,1
255,M,0,801,1,2,74,14,8,0,0,0,0
256,M,0,801,1,2,130,36,22,1,0,0,0
257,M,0,801,1,5,210,4,3,0,0,0,0
258,M,0,801,1,3,213.5,9,8,0,0,0,1
259,U,1,801,1,1,59.5,2,14,0,0,0,1
260,U,1,801,1,1,57,22,21,0,0,1,0
261,F,0,801,1,5,399.5,13,2,0,0,0,1
262,F,0,801,1,1,29.5,11,20,1,0,0,1
263,F,0,801,1,3,98.5,24,32,0,0,1,0
264,F,0,801,1,1,279.5,30,7,0,0,0,1
265,F,0,801,1,2,207.5,9,23,0,0,1,1
266,F,0,801,1,3,194,1,29,0,0,1,0
267,M,0,801,1,3,93.5,9,21,1,0,0,1
268,M,0,801,1,2,64.5,3,18,0,0,0,1
269,F,0,801,1,4,128,8,23,0,0,1,0
270,F,0,801,1,2,91,17,4,0,0,0,1
271,M,0,801,1,3,107.5,16,5,0,0,0,0
272,M,0,801,1,3,58.5,4,11,0,0,0,1
273,M,0,801,1,5,135.5,6,15,0,0,0,0
274,M,0,801,1,1,34.5,32,5,0,0,0,0
275,M,0,801,1,4,84.5,1,16,1,0,0,1
276,M,0,801,1,1,54.5,20,24,1,0,0,1
277,M,0,801,1,1,154.5,16,30,0,0,1,1
278,M,0,801,1,2,192,1,18,0,0,1,1
279,F,0,801,1,1,39.5,6,31,0,0,1,1
280,F,0,801,1,4,92.5,11,5,0,0,0,0
281,M,1,801,1,5,336,1,13,0,0,0,1
282,M,1,801,1,1,127,6,26,0,0,1,0
283,M,0,801,1,1,44.5,8,33,0,0,1,1
284,M,0,801,1,1,49.5,33,15,0,0,0,0
285,M,0,801,1,4,71.5,31,15,0,0,0,1
286,M,0,801,1,1,79.5,26,1,0,0,0,0
287,M,0,801,1,1,6,21,6,0,0,0,0
288,M,0,801,1,2,29,13,7,0,0,0,0
289,M,0,801,1,2,319,23,27,1,0,0,0
290,M,0,801,1,3,131,1,13,0,0,0,0
291,M,0,801,1,1,59.5,1,10,0,0,0,0
292,M,0,801,1,1,24.5,23,30,1,0,0,0
293,U,1,801,1,3,101.5,25,17,0,0,0,0
294,U,1,801,1,1,112,10,33,1,0,0,1
295,U,0,801,1,4,100.5,9,22,0,0,1,0
296,U,0,801,1,1,49.5,16,19,1,0,0,0
297,M,1,801,1,1,9.5,24,27,1,0,0,0
298,M,1,801,1,1,11,5,20,0,0,1,0
299,M,0,801,1,3,94,35,4,0,0,0,0
300,M,0,801,1,5,139.5,12,26,0,0,1,0
301,M,0,801,1,1,89.5,5,35,1,0,0,0
302,M,0,801,1,2,29,4,16,0,0,0,0
303,M,0,801,1,3,146.5,25,15,0,0,0,1
304,M,0,801,1,5,201.5,17,9,0,0,0,0
305,F,0,801,1,2,71.5,14,7,0,0,0,1
306,F,0,801,1,1,134.5,7,15,0,0,0,1
307,M,0,801,1,1,4.5,31,13,0,0,0,0
308,M,0,801,1,1,114.5,18,19,0,0,1,0
309,U,1,801,1,2,34,22,26,0,0,1,0
310,U,1,801,1,1,35.5,4,22,0,0,1,1
311,M,1,801,1,1,4.5,24,16,0,0,0,0
312,M,1,801,1,1,9.5,10,13,0,0,0,0
313,M,0,801,1,3,141,10,28,1,0,0,0
314,M,0,801,1,3,201,26,31,1,0,0,0
315,U,1,801,1,2,84,11,31,0,0,1,1
316,U,1,801,1,1,64.5,17,17,0,0,0,0
317,M,0,801,1,1,34.5,8,5,0,0,0,1
318,M,0,801,1,3,258,6,17,0,1,1,1
319,M,0,801,1,1,49.5,12,11,0,0,0,0
320,M,0,801,1,2,219.5,10,31,0,0,1,1
321,M,0,801,1,1,44.5,19,8,0,0,0,0
322,M,0,801,1,1,33,13,17,0,0,0,0
323,M,0,801,1,2,60,28,30,0,0,1,1
324,M,0,801,1,5,361,25,14,0,0,0,1
325,M,0,801,1,1,54.5,22,1,0,0,0,1
326,M,0,801,1,3,190,6,5,0,0,0,0
327,M,0,801,1,4,211.5,5,4,0,0,0,0
328,M,0,801,1,2,27,1,5,0,0,0,0
329,M,1,801,1,1,29.5,16,3,0,0,0,0
330,M,1,801,1,1,91,33,4,0,0,0,1
331,U,0,801,1,2,32.5,17,5,0,0,0,1
332,U,0,801,1,1,19.5,26,33,0,0,1,0
333,U,0,801,1,2,99,6,2,0,0,0,0
334,U,0,801,1,2,60,21,4,0,0,0,0
335,F,0,801,1,2,60,6,13,0,0,0,1
336,F,0,801,1,4,58,24,25,1,0,0,0
337,M,0,801,1,1,182,9,19,0,0,1,0
338,M,0,801,1,2,69,10,31,1,0,0,0
339,M,0,801,1,1,24.5,6,20,0,0,1,1
340,M,0,801,1,4,331,1,10,0,0,0,0
341,U,0,801,1,1,34.5,12,27,0,0,1,0
342,U,0,801,1,1,19.5,6,15,0,0,0,1
343,M,0,801,1,2,31,6,36,1,0,0,0
344,M,0,801,1,3,152.5,14,35,0,0,1,1
345,M,0,801,1,1,19.5,3,10,0,0,0,1
346,M,0,801,1,2,154.5,2,8,0,0,0,0
347,M,0,801,1,3,108.5,2,26,1,0,0,1
348,M,0,801,1,3,186,24,15,0,0,1,1
349,U,1,801,1,1,79.5,26,17,0,0,1,0
350,U,1,801,1,1,39.5,30,23,0,0,1,1
351,U,0,801,1,1,19.5,25,23,0,0,1,1
352,U,0,801,1,2,117,8,36,1,0,0,0
353,U,1,801,1,1,44.5,13,15,0,0,0,0
354,U,1,801,1,1,8.5,17,19,1,0,0,0
355,M,0,801,1,2,29,10,30,1,0,0,0
356,M,0,801,1,1,102,22,17,0,0,0,0
357,M,0,801,1,4,148.5,3,25,0,0,1,1
358,M,0,801,1,4,222,28,23,1,0,0,0
359,U,1,801,1,1,79.5,30,11,0,0,0,0
360,U,1,801,1,1,40,17,9,0,0,0,0
361,M,0,801,1,3,140.5,12,7,0,0,0,0
362,M,0,801,1,3,66.5,22,7,0,0,0,0
363,M,0,801,1,2,113,28,28,0,0,1,1
364,M,0,801,1,1,179.5,2,22,0,0,1,0
365,F,0,801,1,1,114.5,4,36,0,0,1,1
366,F,0,801,1,2,43.5,11,13,0,0,0,0
367,M,0,801,1,2,96.5,1,18,0,0,0,1
368,M,0,801,1,1,9.5,14,6,0,0,0,0
369,M,0,801,1,1,99.5,20,35,1,0,0,1
370,M,0,801,1,1,53.5,4,33,1,0,0,1
371,M,0,801,1,1,18.5,11,13,0,0,0,0
372,M,0,801,1,3,179.5,3,5,0,0,0,1
373,M,0,801,1,4,163,28,16,0,0,0,0
374,M,0,801,1,1,12,13,4,0,0,0,1
375,F,0,801,1,1,104.5,21,6,0,0,0,0
376,F,0,801,1,1,9.5,6,2,0,0,0,1
377,M,0,801,1,3,50,28,10,0,0,0,0
378,M,0,801,1,2,46,13,16,0,0,0,0
379,F,1,801,1,1,19.5,19,6,0,0,0,0
380,F,1,801,1,3,169.5,4,14,0,0,0,1
381,M,0,801,1,1,205.5,29,18,0,0,1,1
382,M,0,801,1,5,436,16,22,0,0,1,1
383,F,0,801,1,2,41.5,25,2,0,0,0,0
384,F,0,801,1,1,49,17,6,0,0,0,0
385,M,0,801,1,2,56.5,21,20,1,0,0,0
386,M,0,801,1,3,129.5,12,2,0,0,0,1
387,M,1,801,1,1,62.5,30,3,0,0,0,1
388,M,1,801,1,5,239.5,26,26,0,0,1,1
389,M,0,801,1,2,69,35,14,0,0,0,0
390,M,0,801,1,1,54.5,12,22,0,0,1,0
391,M,0,801,1,1,19.5,12,22,1,0,0,1
392,M,0,801,1,2,152.5,12,7,0,0,0,1
393,M,0,801,1,1,211,17,4,0,0,0,1
394,M,0,801,1,5,139,13,23,1,0,0,1
395,M,0,801,1,3,120,7,28,1,0,0,0
396,M,0,801,1,1,104.5,23,2,0,0,0,0
397,F,0,801,1,1,24.5,32,31,1,0,0,0
398,F,0,801,1,2,129,19,12,0,0,0,0
399,M,0,801,1,4,83,8,25,1,0,0,1
400,M,0,801,1,2,214.5,34,4,0,0,0,0
401,U,1,801,1,1,67,8,5,0,0,0,0
402,U,1,801,1,3,227.5,1,31,0,0,1,1
403,F,0,801,1,2,79,10,22,1,0,0,0
404,F,0,801,1,1,129.5,13,29,0,0,1,0
405,M,0,801,1,4,227.5,16,36,1,0,0,1
406,M,0,801,1,1,70,8,21,0,0,1,1
407,M,0,801,1,2,39.5,27,6,0,0,0,0
408,M,0,801,1,2,23,15,13,0,0,0,1
409,M,0,801,1,1,29.5,12,1,0,0,0,1
410,M,0,801,1,2,94,1,15,0,0,0,1
411,M,0,801,1,3,315.5,5,14,0,0,0,1
412,M,0,801,1,1,104.5,31,7,0,0,0,0
413,M,1,801,1,4,83.5,1,7,0,0,0,1
414,M,1,801,1,2,78.5,26,7,0,0,0,0
415,M,0,801,1,1,59.5,22,21,1,0,0,1
416,M,0,801,1,2,89,32,3,0,0,0,0
417,F,0,801,1,1,179.5,10,5,0,0,0,1
418,F,0,801,1,4,192,20,22,1,0,0,0
419,M,0,801,1,1,7,14,3,0,0,0,1
420,M,0,801,1,2,8,30,22,0,0,1,0
421,M,0,801,1,1,45.5,19,32,1,0,0,0
422,M,0,801,1,1,114.5,24,8,0,0,0,1
423,U,0,801,1,2,111.5,17,31,1,0,0,0
424,U,0,801,1,1,7,3,3,0,0,0,1
425,M,0,801,1,1,44.5,24,7,0,0,0,1
426,M,0,801,1,2,44,19,24,1,0,0,0
427,M,0,801,1,1,44.5,9,22,1,0,0,1
428,M,0,801,1,3,73.5,6,24,1,0,0,0
429,M,0,801,1,4,264,5,9,0,0,0,0
430,M,0,801,1,3,182,13,35,0,0,1,1
431,M,0,801,1,2,61.5,12,20,1,0,0,1
432,M,0,801,1,1,59.5,19,8,0,0,0,1
433,F,0,801,1,2,81.5,24,28,1,0,0,0
434,F,0,801,1,3,52.5,5,30,0,0,1,1
435,M,0,801,1,1,35.5,17,18,0,0,1,1
436,M,0,801,1,4,89,3,17,0,0,0,1
437,M,0,801,1,1,81.5,12,27,0,0,1,0
438,M,0,801,1,1,36,24,17,0,0,0,0
439,M,0,801,1,1,24.5,17,17,0,0,0,0
440,M,0,801,1,2,115,6,21,0,0,1,1
441,M,0,801,1,2,107,15,30,0,0,1,0
442,M,0,801,1,3,376.5,28,7,0,0,0,0
443,M,0,801,1,3,63.5,9,33,1,0,0,0
444,M,0,801,1,1,12,3,2,0,0,0,1
445,M,0,801,1,1,89.5,27,22,1,0,0,1
446,M,0,801,1,5,170,24,2,0,0,0,1
447,F,1,801,1,4,137,13,10,0,0,0,0
448,F,1,801,1,1,14.5,12,29,1,0,0,1
449,M,1,801,1,3,82.5,17,11,0,0,0,0
450,M,1,801,1,2,69,2,7,0,0,0,1
451,F,1,801,1,1,12,22,18,1,0,0,1
452,F,1,801,1,2,84,1,6,0,0,0,0
453,U,0,801,1,1,9.5,30,22,0,0,1,0
454,U,0,801,1,3,303.5,12,23,1,0,0,0
455,M,1,801,1,3,163.5,8,3,0,0,0,1
456,M,1,801,1,2,104,27,11,0,0,0,1
457,M,0,801,1,4,121,18,35,1,0,0,1
458,M,0,801,1,3,93,30,19,1,0,0,0
459,M,0,801,1,4,57.5,8,17,0,0,0,0
460,M,0,801,1,1,24.5,18,11,0,0,0,1
461,M,0,801,1,1,59.5,13,10,0,0,0,1
462,M,0,801,1,1,9.5,35,27,0,0,1,1
463,M,0,801,1,1,29.5,34,5,0,0,0,0
464,M,0,801,1,1,8.5,31,13,0,0,0,0
465,M,0,801,1,3,81,6,18,0,0,1,1
466,M,0,801,1,1,39.5,8,34,1,0,0,0
467,M,0,801,1,3,64.5,11,25,1,0,0,0
468,M,0,801,1,3,12.5,7,36,0,0,1,1
469,M,0,801,1,5,299.5,22,10,0,0,0,0
470,M,0,801,1,4,90.5,12,29,1,0,0,1
471,M,0,801,1,2,20.5,1,1,0,0,0,0
472,M,0,801,1,5,210.5,3,20,1,0,0,1
473,M,1,801,1,1,9.5,27,31,0,0,1,0
474,M,1,801,1,1,19.5,25,10,0,0,0,0
475,M,0,801,1,3,78.5,11,11,0,0,0,0
476,M,0,801,1,1,22,14,20,1,0,0,0
477,M,0,801,1,3,195,4,10,0,0,0,1
478,M,0,801,1,1,12,9,13,0,0,0,0
479,M,0,801,1,1,71.5,16,19,1,0,0,1
480,M,0,801,1,3,94.5,12,28,1,0,0,1
481,M,0,801,1,1,54.5,35,15,0,0,0,0
482,M,0,801,1,5,185,6,10,0,0,0,1
483,M,0,801,1,3,178.5,20,12,0,0,0,0
484,M,0,801,1,4,93,25,18,0,0,0,0
485,M,0,801,1,2,86.5,13,31,1,0,0,1
486,M,0,801,1,5,429.5,1,1,0,0,0,0
487,M,0,801,1,2,60,2,12,0,1,0,1
488,M,0,801,1,2,149,13,3,0,0,0,0
489,F,0,801,1,4,61.5,1,15,0,0,0,1
490,F,0,801,1,2,56,4,35,0,0,1,0
491,M,1,801,1,1,44.5,16,5,0,0,0,1
492,M,1,801,1,4,98.5,9,22,1,0,0,1
493,U,1,801,1,1,79.5,33,10,0,0,0,0
494,U,1,801,1,1,59.5,7,2,0,0,0,1
495,M,0,801,1,3,248.5,1,3,0,1,0,0
496,M,0,801,1,2,85,25,16,0,0,0,0
497,F,0,801,1,2,115.5,12,36,1,0,0,1
498,F,0,801,1,2,19.5,3,2,0,0,0,0
499,F,1,801,1,1,84.5,9,13,0,0,0,0
500,F,1,801,1,1,212,35,7,0,0,0,1
501,M,0,801,1,3,55.5,3,17,1,0,0,1
502,M,0,801,1,5,231,8,4,0,0,0,0
503,U,1,801,1,2,134,16,24,0,0,1,0
504,U,1,801,1,5,284,4,9,0,0,0,1
